,id,length,avg_inter
0,0,17,0.06565533946569851
1,1,8,0.1367595313489093
2,2,7,0.11053221950356326
3,3,11,0.09602992065785597
4,4,7,0.14442631115388965
5,5,9,0.0894294236641323
6,6,21,0.0493618035330435
7,7,6,0.1623269289929212
8,8,7,0.13495750620186672
9,9,12,0.06030097897582949
10,10,6,0.20261591482520963
11,11,7,0.12919313871341237
12,12,8,0.1274361513452757
13,13,11,0.10694258291205533
14,14,8,0.176493912785357
15,15,17,0.0753753799518883
16,16,8,0.15115312391571042
17,17,10,0.11587442293227873
18,18,8,0.12177331388737785
19,19,19,0.1628882630165695
20,20,8,0.1437875306687755
21,21,4,3.00011728767592
22,22,15,0.0675527476439091
23,23,6,0.11663496790402733
24,24,9,0.11913692718496281
25,25,8,0.1402032992020016
26,26,8,0.1262899773783968
27,27,9,0.1062128357464268
28,28,11,0.100498398715636
29,29,16,0.06385881355152255
30,30,20,0.15193750443729026
31,31,11,0.12092184110912522
32,32,21,0.03976624906855487
33,33,8,0.13669852546237773
34,34,21,0.14195052959290513
35,35,6,0.1899691703960996
36,36,17,0.051396912672915504
37,37,6,0.19492593462101807
38,38,10,0.10247440780387206
39,39,9,0.11497586727143892
40,40,8,0.14020645628373904
41,41,15,0.14501375110027548
42,42,18,0.09969416684700422
43,43,6,0.19915979061357766
44,44,15,0.06770082366125983
45,45,17,0.11652055707726115
46,46,14,0.061723193857126386
47,47,6,0.10746928620517453
48,48,16,0.4023616746413462
49,49,20,0.10015402578874899
50,50,13,0.11972732308058985
51,51,14,0.14249151477010616
52,52,20,0.10258924328416447
53,53,11,0.2000608310099214
54,54,13,0.1604172012539485
55,55,12,0.1279504773769656
56,56,12,0.20467225015686602
57,57,11,0.15263721291773924
58,58,20,0.07536077355538812
59,59,8,0.18143434753041196
60,60,15,0.1441326248826411
61,61,21,0.10991655532031758
62,62,19,0.07069219817591413
63,63,19,0.08956351766935029
64,64,16,0.39658392730361863
65,65,10,0.1168552545959071
66,66,9,0.08706054633658021
67,67,18,0.11962614141458719
68,68,11,0.1094643686204412
69,69,3,0.038616073551840525
70,70,12,0.16721689392895156
71,71,17,0.09476098603888121
72,72,8,0.029920063176522432
73,73,15,0.12453793196564915
74,74,20,0.0982109729019964
75,75,9,0.21195094212127058
76,76,19,0.10618541096253911
77,77,14,0.10777754802028087
78,78,17,0.1177845801504235
79,79,11,0.2075038346826034
80,80,19,0.07457074275903619
81,81,15,0.12974317841512567
82,82,11,0.08448579077153412
83,83,15,0.4451746601743247
84,84,12,0.15082115449462477
85,85,11,0.1326407230815167
86,86,17,0.12036334236783341
87,87,8,0.216884296580491
88,88,21,0.08638408414887565
89,89,20,0.08409782711055645
90,90,15,0.12139823238811175
91,91,10,0.16087180826355668
92,92,9,0.18182854347323876
93,93,10,0.15552277711620638
94,94,16,0.14665521827867392
95,95,18,0.3684460562983245
96,96,11,0.07617111294545821
97,97,6,1.2513389136848936
98,98,15,0.09181643546051829
99,99,12,0.20402778396291615
100,100,18,0.35452158286419805
101,101,20,0.07147687798019872
102,102,10,0.16122378069316715
103,103,12,0.1518471305294274
104,104,8,0.19652015023535008
105,105,10,0.09991763191983577
106,106,8,0.25736784931365614
107,107,14,0.07185367706306227
108,108,13,0.14504383242995889
109,109,10,0.19128854495223593
110,110,14,0.06551804272057325
111,111,12,0.07318661888076719
112,112,20,0.0900233635787258
113,113,11,0.13558892544143927
114,114,13,0.10417100728373589
115,115,7,0.2563411422732963
116,116,14,0.13875201093192419
117,117,18,0.03834286724772637
118,118,19,0.1092807650012631
119,119,10,0.1409673991155247
120,120,10,0.15231324842028846
121,121,8,0.21577984623634494
122,122,12,0.10833760441001565
123,123,20,0.0003729582892095138
124,124,11,0.08984765716166788
125,125,15,0.11864099996391486
126,126,18,0.04424479073771883
127,127,15,0.13660099849814916
128,128,20,0.0966875755859022
129,129,9,0.12599579936765887
130,130,9,0.6235036062246901
131,131,19,0.3629326607898459
132,132,10,0.19359920670040243
133,133,13,0.06616096134885603
134,134,12,0.09113440882135836
135,135,9,0.26657521468045425
136,136,11,0.17151177059041683
137,137,12,0.11777077236605218
138,138,17,0.09689796628048958
139,139,15,0.10027133836363852
140,140,18,0.08191488512360193
141,141,20,0.11404881135960784
142,142,19,0.09281649350581975
143,143,8,0.24029078181781258
144,144,9,0.15273244066462302
145,145,13,0.15472980804971118
146,146,15,0.07027298302315325
147,147,21,0.10837921252776163
148,148,15,0.11672610897698399
149,149,20,0.35028249751013374
150,150,12,0.2096797686471159
151,151,17,0.06768789504425049
152,152,18,0.10657061495124395
153,153,7,0.188158742937578
154,154,7,0.19896707343956932
155,155,18,0.015553208344734885
156,156,7,0.20980095142567928
157,157,13,0.08956480203093757
158,158,11,0.12151298835974068
159,159,16,0.08045831777205462
160,160,17,0.06617001758410143
161,161,7,0.19922484461765513
162,162,15,0.0742785346696854
163,163,14,0.08003574828112638
164,164,21,0.056400048032151456
165,165,8,0.16292625896151366
166,166,6,0.16757253507337547
167,167,19,0.09922536035065373
168,168,6,0.11130986880468016
169,169,4,0.22772360886283433
170,170,9,0.13677084243018892
171,171,15,0.07783338842803672
172,172,18,0.14282767936060148
173,173,20,0.04268007002947487
174,174,8,0.14957980300984883
175,175,8,0.1742594640384804
176,176,8,0.156622093170118
177,177,7,0.1682346433579357
178,178,13,0.09466888242271225
179,179,19,0.06328675479196166
180,180,20,0.056438208971547416
181,181,6,0.2512004798824531
182,182,19,0.1160902411248351
183,183,7,0.19982114696951433
184,184,13,0.06519706916311663
185,185,6,0.2576915163607613
186,186,12,0.48375490054795856
187,187,7,0.20517837268439137
188,188,12,0.10005585025504556
189,189,8,0.14588544894982808
190,190,11,0.11560130467211212
191,191,15,0.07763179928704182
192,192,7,0.20881603196286966
193,193,7,0.20367982717296146
194,194,9,0.14476797979855008
195,195,3,0.22453024525345372
196,196,14,0.08430181461509706
197,197,16,0.08525385127731054
198,198,8,0.16596532842051373
199,199,6,0.2554262314629643
200,200,8,0.1680179037168095
201,201,15,0.07886238545800836
202,202,20,0.09032856775654738
203,203,11,0.11022295594373542
204,204,6,0.26314289924413753
205,205,7,0.21300501356910156
206,206,5,0.21463796919085276
207,207,17,0.12436430576479499
208,208,8,0.16247980393565192
209,209,11,0.1547738664720627
210,210,9,0.12417590074035137
211,211,8,0.23289390902944918
212,212,9,0.1506725474055127
213,213,7,0.22781822520417733
214,214,18,0.06685111930506768
215,215,8,0.13956068934871413
216,216,7,0.11614081007277728
217,217,8,0.11898138081871669
218,218,9,0.12022802480763758
219,219,7,0.21833118730317605
220,220,14,0.08049743148229915
221,221,9,0.1440315633249374
222,222,7,0.18936361610180327
223,223,17,0.06515202755897918
224,224,11,0.11014584813058252
225,225,5,0.22731006616291902
226,226,7,0.17348405300725014
227,227,16,0.08833690702858084
228,228,6,0.17918815279192787
229,229,8,0.17203736055666793
230,230,20,0.07296321153048566
231,231,10,0.0931819318187118
232,232,16,0.07415372103737257
233,233,13,0.08511740477586847
234,234,16,0.16354396712866456
235,235,6,0.23123009325078803
236,236,7,0.18169421119209286
237,237,7,0.2351478219007476
238,238,8,0.16498208934337896
239,239,14,0.1756651179503995
240,240,18,0.13157045817568153
241,241,11,0.06836926027912824
242,242,16,0.11100227488800707
243,243,7,0.2806482155072894
244,244,11,0.18517800679378973
245,245,4,2.416836364648363
246,246,14,0.17433668049762305
247,247,16,0.11221443171469604
248,248,16,0.11669160591950943
249,249,18,0.13095008985245635
250,250,12,0.15536461990865993
251,251,10,0.7325285329143373
252,252,12,0.15622441401639636
253,253,11,0.18603120835337175
254,254,8,0.12128879077265169
255,255,20,0.09111484792864022
256,256,18,0.10921368735447143
257,257,11,0.17123307008853864
258,258,18,0.0969015803029672
259,259,12,0.1651161611479236
260,260,18,0.10459392503723947
261,261,21,0.08908921884267318
262,262,21,0.08868403604904451
263,263,18,0.10067024798800145
264,264,19,0.09555000284572823
265,265,21,0.10879160069753736
266,266,16,0.12163253912945218
267,267,12,0.1661470928930086
268,268,14,0.14411088616542897
269,269,19,0.09747522298656602
270,270,16,0.12326739603968981
271,271,11,0.11039968608296939
272,272,16,0.11169910618170249
273,273,19,0.09761538783290624
274,274,17,0.12029954327151805
275,275,6,0.10420966338676516
276,276,17,0.11525832108231858
277,277,11,0.17141012545254578
278,278,13,0.1485898209256863
279,279,18,0.1313228251257934
280,280,13,0.1468152247541067
281,281,19,0.09567726922787413
282,282,10,0.19634977891831584
283,283,13,0.13332791612906156
284,284,8,0.19668223327534032
285,285,17,0.11429350534191375
286,286,15,0.0852144056062642
287,287,17,0.11552418974001276
288,288,15,0.1343481630324759
289,289,14,0.15376771994943245
290,290,20,0.09035423311868822
291,291,19,0.1129877352060658
292,292,15,0.16071716172497988
293,293,18,0.1090912545109515
294,294,18,0.09343989171852421
295,295,17,0.10949222470191779
296,296,13,0.13966693447490608
297,297,13,0.1904028901249557
298,298,14,0.14383976180861968
299,299,16,0.12046246256669964
300,300,15,0.12972125285812866
301,301,11,0.16965879706719778
302,302,14,0.13626885259096191
